"","250 ms to 00 
m 19 s 290 
ms","290 ms to 00 
m 16 s 700 
ms","700 ms to 00 
m 15 s 60 ms","60 ms to 00 
m 14 s 340 
ms","340 ms to 00 
m 13 s 600 
ms","600 ms to 00 
m 12 s 720 
ms","720 ms"
"6","< 00 m 22 s 
350 ms to 00 
m 17 s 770 
ms","< 00 m 17 s 
770 ms to 00 
m 15 s 640 
ms","< 00 m 15 s 
640 ms to 00 
m 14 s 250 
ms","< 00 m 14 s 
250 ms to 00 
m 13 s 620 
ms","< 00 m 13 s 
620 ms to 00 
m 12 s 970 
ms","< 00 m 12 s 
970 ms to 00 
m 12 s 190 
ms","< 00 m 12 s 
190 ms"
"7","< 00 m 19 s 
930 ms to 00 
m 16 s 380 
ms","< 00 m 16 s 
380 ms to 00 
m 14 s 630 
ms","< 00 m 14 s 
630 ms to 00 
m 13 s 450 
ms","< 00 m 13 s 
450 ms to 00 
m 12 s 910 
ms","< 00 m 12 s 
910 ms to 00 
m 12 s 350 
ms","< 00 m 12 s 
350 ms to 00 
m 11 s 660 
ms","< 00 m 11 s 
660 ms"
"8","< 00 m 18 s 
410 ms to 00 
m 15 s 530 
ms","< 00 m 15 s 
530 ms to 00 
m 14 s 40 ms","< 00 m 14 s 
40 ms to 00 
m 13 s 10 ms","< 00 m 13 s 
10 ms to 00 
m 12 s 530 
ms","< 00 m 12 s 
530 ms to 00 
m 12 s 30 ms","< 00 m 12 s 
30 ms to 00 
m 11 s 410 
ms","< 00 m 11 s 
410 ms"
