"","15 times","15 times","20 times","22 times","23 times","25 times",""
"11","> 13 times to 
16 times","> 16 times to 
16 times","> 16 times to 
22 times","> 22 times to 
23 times","> 23 times to 
24 times","> 24 times to 
26 times","> 26 times"
"12","> 14 times to 
16 times","> 16 times to 
16 times","> 16 times to 
22 times","> 22 times to 
24 times","> 24 times to 
25 times","> 25 times to 
27 times","> 27 times"
"13","> 14 times to 
18 times","> 18 times to 
18 times","> 18 times to 
23 times","> 23 times to 
24 times","> 24 times to 
26 times","> 26 times to 
28 times","> 28 times"
"14","> 15 times to 
19 times","> 19 times to 
19 times","> 19 times to 
24 times","> 24 times to 
25 times","> 25 times to 
27 times","> 27 times to 
29 times","> 29 times"
"15","> 17 times to 
20 times","> 20 times to 
20 times","> 20 times to 
25 times","> 25 times to 
26 times","> 26 times to 
28 times","> 28 times to 
30 times","> 30 times"
"16","> 18 times to 
20 times","> 20 times to 
20 times","> 20 times to 
26 times","> 26 times to 
27 times","> 27 times to 
29 times","> 29 times to 
30 times","> 30 times"
"17","> 18 times to 
22 times","> 22 times to 
22 times","> 22 times to 
27 times","> 27 times to 
28 times","> 28 times to 
29 times","> 29 times to 
31 times","> 31 times"
"18","> 18 times to 
21 times","> 21 times to 
21 times","> 21 times to 
28 times","> 28 times to 
29 times","> 29 times to 
30 times","> 30 times to 
31 times","> 31 times"
