"","5 times","6 times","7 times","8 times","9 times","10 times",""
"10","> 5 times to 
6 times","> 6 times to 
7 times","> 7 times to 
8 times","> 8 times to 
9 times","> 9 times to 
10 times","> 10 times to 
11 times","> 11 times"
"11","> 6 times to 
7 times","> 7 times to 
8 times","> 8 times to 
9 times","> 9 times to 
10 times","> 10 times to 
11 times","> 11 times to 
13 times","> 13 times"
"12","> 7 times to 
8 times","> 8 times to 
9 times","> 9 times to 
10 times","> 10 times to 
11 times","> 11 times to 
13 times","> 13 times to 
15 times","> 15 times"
"13","> 8 times to 
9 times","> 9 times to 
10 times","> 10 times to 
11 times","> 11 times to 
13 times","> 13 times to 
15 times","> 15 times to 
16 times","> 16 times"
"14","> 9 times to 
10 times","> 10 times to 
11 times","> 11 times to 
13 times","> 13 times to 
15 times","> 15 times to 
16 times","> 16 times to 
17 times","> 17 times"
"15","> 13 times to 
15 times","> 15 times to 
17 times","> 17 times to 
19 times","> 19 times to 
21 times","> 21 times to 
23 times","> 23 times to 
28 times","> 28 times"
"16","> 15 times to 
17 times","> 17 times to 
19 times","> 19 times to 
21 times","> 21 times to 
23 times","> 23 times to 
28 times","> 28 times to 
33 times","> 33 times"
"17","> 17 times to 
19 times","> 19 times to 
21 times","> 21 times to 
23 times","> 23 times to 
28 times","> 28 times to 
33 times","> 33 times to 
37 times","> 37 times"
"18","> 19 times to 
21 times","> 21 times to 
23 times","> 23 times to 
28 times","> 28 times to 
33 times","> 33 times to 
37 times","> 37 times to 
43 times","> 43 times"
