Age,"L1 (Work 
Harder)","L2 (Must 
Improve)","L3 (Can do 
Better)",L4 (Good),"L5 (Very 
Good)",L6 (Athletic)  L7 (Sports,Fit)
0,9,"< 00 m 10 s 
800 ms to 00 
m 10 s 300","< 00 m 10 s 
300 ms to 00 
m 09 s 800","< 00 m 09 s 
800 ms to 00 
m 09 s 300","< 00 m 09 s 
300 ms to 00 
m 09 s 100","< 00 m 09 s 
100 ms to 00 
m 09 s 0 ms","< 00 m 09 s 0 
ms to 00 m 
08 s 600 ms","< 00 m 08 s 
600 ms"
1,10,"< 00 m 10 s 
400 ms to 00 
m 10 s 0 ms","< 00 m 10 s 0 
ms to 00 m 
09 s 500 ms","< 00 m 09 s 
500 ms to 00 
m 09 s 100 
ms","< 00 m 09 s 
100 ms to 00 
m 08 s 900 
ms","< 00 m 08 s 
900 ms to 00 
m 08 s 300 
ms","< 00 m 08 s 
300 ms to 00 
m 08 s 300 
ms","< 00 m 08 s 
300 ms"
2,11,"< 00 m 10 s 
100 ms to 00 
m 09 s 700 
ms","< 00 m 09 s 
700 ms to 00 
m 09 s 200 
ms","< 00 m 09 s 
200 ms to 00 
m 08 s 800 
ms","< 00 m 08 s 
800 ms to 00 
m 08 s 600 
ms","< 00 m 08 s 
600 ms to 00 
m 08 s 100 
ms","< 00 m 08 s 
100 ms to 00 
m 08 s 100 
ms","< 00 m 08 s 
100 ms"
3,12,"< 00 m 09 s 
800 ms to 00 
m 09 s 400 
ms","< 00 m 09 s 
400 ms to 00 
m 08 s 900 
ms","< 00 m 08 s 
900 ms to 00 
m 08 s 500 
ms","< 00 m 08 s 
500 ms to 00 
m 08 s 300 
ms","< 00 m 08 s 
300 ms to 00 
m 07 s 800 
ms","< 00 m 07 s 
800 ms to 00 
m 07 s 800 
ms","< 00 m 07 s 
800 ms"
4,13,"< 00 m 09 s 
400 ms to 00 
m 09 s 100 
ms","< 00 m 09 s 
100 ms to 00 
m 08 s 700 
ms","< 00 m 08 s 
700 ms to 00 
m 08 s 300 
ms","< 00 m 08 s 
300 ms to 00 
m 08 s 0 ms","< 00 m 08 s 0 
ms to 00 m 
07 s 700 ms","< 00 m 07 s 
700 ms to 00 
m 07 s 700 
ms","< 00 m 07 s 
700 ms"
5,14,"< 00 m 09 s 
100 ms to 00 
m 08 s 900 
ms","< 00 m 08 s 
900 ms to 00 
m 08 s 500 
ms","< 00 m 08 s 
500 ms to 00 
m 08 s 0 ms","< 00 m 08 s 0 
ms to 00 m 
07 s 800 ms","< 00 m 07 s 
800 ms to 00 
m 07 s 500 
ms","< 00 m 07 s 
500 ms to 00 
m 07 s 600 
ms","< 00 m 07 s 
600 ms"
6,15,"< 00 m 08 s 
900 ms to 00 
m 08 s 700 
ms","< 00 m 08 s 
700 ms to 00 
m 08 s 300 
ms","< 00 m 08 s 
300 ms to 00 
m 07 s 800 
ms","< 00 m 07 s 
800 ms to 00 
m 07 s 700 
ms","< 00 m 07 s 
700 ms to 00 
m 07 s 300 
ms","< 00 m 07 s 
300 ms to 00 
m 07 s 400 
ms","< 00 m 07 s 
400 ms"
7,16,"< 00 m 08 s 
700 ms to 00 
m 08 s 500 
ms","< 00 m 08 s 
500 ms to 00 
m 08 s 0 ms","< 00 m 08 s 0 
ms to 00 m 
07 s 700 ms","< 00 m 07 s 
700 ms to 00 
m 07 s 600 
ms","< 00 m 07 s 
600 ms to 00 
m 07 s 200 
ms","< 00 m 07 s 
200 ms to 00 
m 07 s 200 
ms","< 00 m 07 s 
200 ms"
8,17,"< 00 m 08 s 
500 ms to 00 
m 08 s 300 
ms","< 00 m 08 s 
300 ms to 00 
m 07 s 800 
ms","< 00 m 07 s 
800 ms to 00 
m 07 s 600 
ms","< 00 m 07 s 
600 ms to 00 
m 07 s 500 
ms","< 00 m 07 s 
500 ms to 00 
m 07 s 100 
ms","< 00 m 07 s 
100 ms to 00 
m 07 s 100 
ms","< 00 m 07 s 
100 ms"
9,18,"< 00 m 08 s 
300 ms to 00 
m 08 s 0 ms","< 00 m 08 s 0 
ms to 00 m 
07 s 700 ms","< 00 m 07 s 
700 ms to 00 
m 07 s 500 
ms","< 00 m 07 s 
500 ms to 00 
m 07 s 300 
ms","< 00 m 07 s 
300 ms to 00 
m 07 s 0 ms","< 00 m 07 s 0 
ms to 00 m 
07 s 0 ms","< 00 m 07 s 0 
ms"
